,tmdb_id,imdb_id,title,release_date,runtime,budget,language,studios,genres,domestic_gross,international_gross,worldwide_gross,metacritic_score,average_imdb_vote,imdb_vote_count,imdb_popularity,content_rating,director,creator,actor
10,637,tt0118799,Life Is Beautiful,116,1997-12-20,20000000,it,"['Melampo Cinematografica', 'Miramax']","['Comedy', 'Drama']","$57,563,264","$172,535,489","$230,098,753",59,8.6,"582,442",486,PG-13,Roberto Benigni,"['Vincenzo Cerami', 'Roberto Benigni']","['Roberto Benigni', 'Nicoletta Braschi', 'Giorgio Cantarini', 'Giustino Durano']"
11,13,tt0109830,Forrest Gump,142,1994-07-06,55000000,en,['Paramount'],"['Comedy', 'Drama', 'Romance']","$330,455,270","$347,739,295","$678,194,565",82,8.8,"1,694,627",185,PG-13,Robert Zemeckis,"['Winston Groom', 'Eric Roth']","['Tom Hanks', 'Robin Wright', 'Gary Sinise', 'Sally Field']"
12,155,tt0468569,The Dark Knight,152,2008-07-16,185000000,en,"['DC Comics', 'Legendary Entertainment', 'Syncopy', 'Isobel Griffiths', 'DC Entertainment', 'Warner Bros. Pictures']","['Drama', 'Action', 'Crime', 'Thriller']","$535,234,033","$469,700,000","$1,004,934,033",84,9.0,"2,178,209",79,PG-13,Christopher Nolan,"['Jonathan Nolan', 'Christopher Nolan', 'Christopher Nolan', 'David S. Goyer', 'Bob Kane']","['Christian Bale', 'Heath Ledger', 'Aaron Eckhart', 'Michael Caine']"
13,122,tt0167260,The Lord of the Rings: The Return of the King,201,2003-12-01,94000000,en,"['New Line Cinema', 'WingNut Films', 'The Saul Zaentz Company']","['Adventure', 'Fantasy', 'Action']","$377,845,905","$764,373,496","$1,142,219,401",94,8.9,"1,561,408",264,PG-13,Peter Jackson,"['J.R.R. Tolkien', 'Fran Walsh', 'Philippa Boyens', 'Peter Jackson']","['Elijah Wood', 'Viggo Mortensen', 'Ian McKellen', 'Orlando Bloom']"
14,346,tt0047478,Seven Samurai,207,1954-04-26,2000000,ja,"['Toho Company, Ltd.']","['Action', 'Drama']","$318,649","$4,124","$322,773",98,8.6,"297,329","1,009",Not Rated,Akira Kurosawa,"['Akira Kurosawa', 'Shinobu Hashimoto', 'Hideo Oguni']","['Toshirô Mifune', 'Takashi Shimura', 'Keiko Tsushima', 'Yukiko Shimazaki']"
15,311,tt0087843,Once Upon a Time in America,229,1984-05-23,20000000,en,"['The Ladd Company', 'Embassy International Pictures', 'Producers Sales Organization (PSO)', 'Rafran Cinematografica', 'Warner Bros. Pictures']","['Drama', 'Crime']","$5,321,508","$151,406","$5,472,914",No Metacritic score,8.4,"291,557",No popularity,R,Sergio Leone,"['Harry Grey', 'Leonardo Benvenuti', 'Piero De Bernardi', 'Enrico Medioli', 'Franco Arcalli', 'Franco Ferrini', 'Sergio Leone', 'Stuart Kaminsky', 'Ernesto Gastaldi']","['Robert De Niro', 'James Woods', 'Elizabeth McGovern', 'Treat Williams']"
16,769,tt0099685,GoodFellas,145,1990-09-12,25000000,en,['Winkler Films'],"['Drama', 'Crime']","$46,836,214","$43,419","$46,879,633",90,8.7,"955,615",134,R,Martin Scorsese,"['Nicholas Pileggi', 'Nicholas Pileggi', 'Martin Scorsese']","['Robert De Niro', 'Ray Liotta', 'Joe Pesci', 'Lorraine Bracco']"
17,40096,tt0271383,A Dog's Will,104,2000-09-15,0,pt,"['Lereby Productions', 'Globo Filmes']","['Adventure', 'Comedy']",–,–,–,No Metacritic score,8.6,"10,183",No popularity,No content rating,Guel Arraes,"['Guel Arraes', 'Adriana Falcão', 'João Falcão', 'Ariano Suassuna']","['Matheus Nachtergaele', 'Selton Mello', 'Rogério Cardoso', 'Denise Fraga']"
18,539,tt0054215,Psycho,109,1960-06-22,806948,en,['Shamley Productions'],"['Horror', 'Drama', 'Thriller']","$32,000,000",–,"$32,000,000",97,8.5,"565,107",505,R,Alfred Hitchcock,"['Joseph Stefano', 'Robert Bloch']","['Anthony Perkins', 'Janet Leigh', 'Vera Miles', 'John Gavin']"
19,389,tt0050083,12 Angry Men,97,1957-04-10,350000,en,"['United Artists', 'Orion-Nova Productions']",['Drama'],–,$576,$576,96,8.9,"640,780",430,Not Rated,Sidney Lumet,"['Reginald Rose', 'Reginald Rose']","['Henry Fonda', 'Lee J. Cobb', 'Martin Balsam', 'John Fiedler']"
20,429,tt0060196,"The Good, the Bad and the Ugly",161,1966-12-23,1200000,it,"['United Artists', 'Constantin Film', 'PEA', 'Arturo González Producciones Cinematográficas S.A.']",['Western'],"$25,100,000","$152,481","$25,252,481",90,8.8,"651,280",521,R,Sergio Leone,"['Luciano Vincenzoni', 'Sergio Leone', 'Agenore Incrocci', 'Furio Scarpelli', 'Luciano Vincenzoni', 'Sergio Leone']","['Clint Eastwood', 'Eli Wallach', 'Lee Van Cleef', 'Aldo Giuffrè']"
21,510,tt0073486,One Flew Over the Cuckoo's Nest,133,1975-11-18,3000000,en,"['United Artists', 'Fantasy Films', 'Warner Bros. Pictures']",['Drama'],"$108,981,275","$16,354","$108,997,629",83,8.7,"865,894",401,R,Milos Forman,"['Lawrence Hauben', 'Bo Goldman', 'Ken Kesey', 'Dale Wasserman']","['Jack Nicholson', 'Louise Fletcher', 'Will Sampson', 'Michael Berryman']"
22,550,tt0137523,Fight Club,139,1999-10-15,63000000,en,"['Regency Enterprises', 'Fox 2000 Pictures', 'Taurus Film', 'Atman Entertainment', 'Knickerbocker Films', '20th Century Fox', 'The Linson Company']",['Drama'],"$37,030,102","$64,157,401","$101,187,503",66,8.8,"1,753,957",165,R,David Fincher,"['Chuck Palahniuk', 'Jim Uhls']","['Brad Pitt', 'Edward Norton', 'Meat Loaf', 'Zach Grenier']"
23,11216,tt0095765,Cinema Paradiso,124,1988-11-17,0,it,['Rai 3'],"['Drama', 'Romance']","$12,397,210","$247,886","$12,645,096",80,8.5,"212,691","1,825",R,Giuseppe Tornatore,"['Giuseppe Tornatore', 'Giuseppe Tornatore', 'Vanna Paoli', 'Richard Epcar']","['Philippe Noiret', 'Enzo Cannavale', 'Antonella Attili', 'Isa Danieli']"
24,324857,tt4633694,Spider-Man: Into the Spider-Verse,117,2018-12-06,90000000,en,"['Columbia Pictures', 'Sony Pictures Animation', 'Marvel Entertainment', 'Arad Productions', 'Lord Miller', 'Pascal Pictures', 'Sony Pictures']","['Action', 'Adventure', 'Animation', 'Science Fiction', 'Comedy']","$190,241,310","$185,299,521","$375,540,831",87,8.4,"298,808",202,PG,"['Bob Persichetti', 'Peter Ramsey', 'Rodney Rothman']","['Phil Lord', 'Rodney Rothman', 'Phil Lord']","['Shameik Moore', 'Jake Johnson', 'Hailee Steinfeld', 'Mahershala Ali']"
25,598,tt0317248,City of God,130,2002-02-05,3300000,pt,"['O2 Filmes', 'Videofilmes', 'Wild Bunch', 'Hank Levine Film', 'Globo Filmes', 'Lumière']","['Drama', 'Crime']","$7,564,459","$23,116,334","$30,680,793",79,8.6,"668,162",679,R,"['Fernando Meirelles', 'Kátia Lund']","['Paulo Lins', 'Bráulio Mantovani']","['Alexandre Rodrigues', 'Leandro Firmino', 'Matheus Nachtergaele', 'Phellipe Haagensen']"
